id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,testStation,lastCommunicationTime
329,Greenwich St & N Moore St,20,31,40.72043411,-74.01020609,In Service,1,11,Greenwich St & N Moore St,False,2016-01-22 16:30:58
330,Reade St & Broadway,21,39,40.71450451,-74.00562789,In Service,1,18,Reade St & Broadway,False,2016-01-22 16:32:26
331,Pike St & Monroe St,26,27,40.71173107,-73.99193043,In Service,1,1,Pike St & Monroe St,False,2016-01-22 16:28:54
332,Cherry St,18,24,40.71219906,-73.97948148,In Service,1,6,Cherry St,False,2016-01-22 16:30:14
334,W 20 St & 7 Ave,14,31,40.74238787,-73.99726235,In Service,1,17,W 20 St & 7 Ave,False,2016-01-22 16:29:01
335,Washington Pl & Broadway,12,27,40.72903917,-73.99404649,In Service,1,14,Washington Pl & Broadway,False,2016-01-22 16:32:27
336,Sullivan St & Washington Sq,19,36,40.73047747,-73.99906065,In Service,1,17,Sullivan St & Washington Sq,False,2016-01-22 16:31:14
337,Old Slip & Front St,17,37,40.7037992,-74.00838676,In Service,1,20,Old Slip & Front St,False,2016-01-22 16:31:52
339,Avenue D & E 12 St,23,24,40.72580614,-73.97422494,In Service,1,1,Avenue D & E 12 St,False,2016-01-22 16:31:27
340,Madison St & Clinton St,27,27,40.71269042,-73.98776323,In Service,1,0,Madison St & Clinton St,False,2016-01-22 16:30:48
341,Stanton St & Mangin St,19,19,40.71782143,-73.97628939,In Service,1,0,Stanton St & Mangin St,False,2016-01-22 16:31:15
342,Columbia St & Rivington St,29,29,40.71739973,-73.98016555,In Service,1,0,Columbia St & Rivington St,False,2016-01-22 16:32:30
343,Clinton Ave & Flushing Ave,0,23,40.69794,-73.96986848,In Service,1,23,Clinton Ave & Flushing Ave,False,2016-01-22 16:29:40
344,Monroe St & Bedford Ave,13,23,40.6851443,-73.95380904,In Service,1,10,Monroe St & Bedford Ave,False,2016-01-22 16:30:02
345,W 13 St & 6 Ave,17,35,40.73649403,-73.99704374,In Service,1,18,W 13 St & 6 Ave,False,2016-01-22 16:30:12
346,Bank St & Hudson St,25,27,40.73652889,-74.00618026,In Service,1,2,Bank St & Hudson St,False,2016-01-22 16:30:15
347,Greenwich St & W Houston St,12,35,40.728846,-74.008591,In Service,1,22,Greenwich St & W Houston St,False,2016-01-22 16:31:26
348,W Broadway & Spring St,12,42,40.72490985,-74.00154702,In Service,1,30,W Broadway & Spring St,False,2016-01-22 16:31:54
350,Clinton St & Grand St,27,28,40.71559509,-73.9870295,In Service,1,1,Clinton St & Grand St,False,2016-01-22 16:31:55
351,Front St & Maiden Ln,7,39,40.70530954,-74.00612572,In Service,1,29,Front St & Maiden Ln,False,2016-01-22 16:32:41
352,W 56 St & 6 Ave,6,36,40.76340613,-73.97722479,In Service,1,30,W 56 St & 6 Ave,False,2016-01-22 16:32:23
353,S Portland Ave & Hanson Pl,13,27,40.68539567,-73.97431458,In Service,1,14,S Portland Ave & Hanson Pl,False,2016-01-22 16:31:33
354,Emerson Pl & Myrtle Ave,7,23,40.69363137,-73.96223558,In Service,1,16,Emerson Pl & Myrtle Ave,False,2016-01-22 16:29:15
355,Bayard St & Baxter St,37,43,40.71602118,-73.99974372,In Service,1,6,Bayard St & Baxter St,False,2016-01-22 16:31:43
356,Bialystoker Pl & Delancey St,23,23,40.71622644,-73.98261206,In Service,1,0,Bialystoker Pl & Delancey St,False,2016-01-22 16:31:57
357,E 11 St & Broadway,23,27,40.73261787,-73.99158043,In Service,1,4,E 11 St & Broadway,False,2016-01-22 16:29:39
358,Christopher St & Greenwich St,32,36,40.73291553,-74.00711384,In Service,1,4,Christopher St & Greenwich St,False,2016-01-22 16:32:48
359,E 47 St & Park Ave,30,55,40.75510267,-73.97498696,In Service,1,24,E 47 St & Park Ave,False,2016-01-22 16:32:40
360,William St & Pine St,30,39,40.70717936,-74.00887308,In Service,1,9,William St & Pine St,False,2016-01-22 16:31:54
361,Allen St & Hester St,41,43,40.71605866,-73.99190759,In Service,1,2,Allen St & Hester St,False,2016-01-22 16:29:53
362,Broadway & W 37 St,55,57,40.75172632,-73.98753523,In Service,1,2,Broadway & W 37 St,False,2016-01-22 16:30:17
363,West Thames St,46,49,40.70834698,-74.01713445,In Service,1,3,West Thames St,False,2016-01-22 16:30:54
